starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 18:40:24 2011	1308328824	2	179	181	177
Fri Jun 17 18:40:24 2011	1308328824	2	185	187	179
Fri Jun 17 18:40:24 2011	1308328824	2	201	203	185
Fri Jun 17 18:40:24 2011	1308328824	2	209	211	201
Fri Jun 17 18:40:24 2011	1308328824	2	259	261	259
Fri Jun 17 18:40:24 2011	1308328824	2	259	261	259
Fri Jun 17 18:40:24 2011	1308328824	2	259	261	259
Fri Jun 17 18:40:24 2011	1308328824	2	260	262	260
Fri Jun 17 18:40:24 2011	1308328824	2	384	385	383
Fri Jun 17 18:40:24 2011	1308328824	2	400	401	399
Fri Jun 17 18:40:24 2011	1308328824	2	410	411	409
Fri Jun 17 18:40:24 2011	1308328824	2	410	412	410
Fri Jun 17 18:40:28 2011	1308328828	0	425	425	424
Fri Jun 17 18:40:28 2011	1308328828	0	427	427	426
Fri Jun 17 18:40:28 2011	1308328828	0	429	429	428
Fri Jun 17 18:40:28 2011	1308328828	0	429	429	429
Fri Jun 17 18:40:28 2011	1308328828	0	434	435	434
Fri Jun 17 18:40:28 2011	1308328828	0	435	435	435
Fri Jun 17 18:40:28 2011	1308328828	0	436	436	435
Fri Jun 17 18:40:28 2011	1308328828	0	436	436	435
Fri Jun 17 18:40:27 2011	1308328827	0	439	439	439
Fri Jun 17 18:40:28 2011	1308328828	0	441	441	440
Fri Jun 17 18:40:28 2011	1308328828	0	443	443	436
Fri Jun 17 18:40:28 2011	1308328828	0	447	447	447
Fri Jun 17 18:40:28 2011	1308328828	0	448	448	447
Fri Jun 17 18:40:25 2011	1308328825	0	449	449	448
Fri Jun 17 18:40:24 2011	1308328824	0	450	450	449
Fri Jun 17 18:40:28 2011	1308328828	0	450	450	449
Fri Jun 17 18:40:28 2011	1308328828	0	450	451	450
Fri Jun 17 18:40:25 2011	1308328825	0	451	452	451
Fri Jun 17 18:40:27 2011	1308328827	0	452	452	449
Fri Jun 17 18:40:27 2011	1308328827	0	454	454	453
Fri Jun 17 18:40:28 2011	1308328828	0	454	455	454
Fri Jun 17 18:40:27 2011	1308328827	0	455	455	454
Fri Jun 17 18:40:28 2011	1308328828	0	455	455	454
Fri Jun 17 18:40:25 2011	1308328825	0	455	455	455
Fri Jun 17 18:40:28 2011	1308328828	0	456	456	455
Fri Jun 17 18:40:25 2011	1308328825	0	456	456	456
Fri Jun 17 18:40:28 2011	1308328828	0	456	457	456
Fri Jun 17 18:40:28 2011	1308328828	0	457	457	456
Fri Jun 17 18:40:28 2011	1308328828	0	457	458	457
Fri Jun 17 18:40:28 2011	1308328828	0	457	458	457
Fri Jun 17 18:40:26 2011	1308328826	0	457	458	457
Fri Jun 17 18:40:27 2011	1308328827	0	458	458	458
Fri Jun 17 18:40:28 2011	1308328828	0	460	460	459
Fri Jun 17 18:40:26 2011	1308328826	0	460	460	460
Fri Jun 17 18:40:26 2011	1308328826	0	460	460	460
Fri Jun 17 18:40:24 2011	1308328824	0	461	461	460
Fri Jun 17 18:40:27 2011	1308328827	0	461	461	461
Fri Jun 17 18:40:27 2011	1308328827	0	461	462	461
Fri Jun 17 18:40:26 2011	1308328826	0	461	462	461
Fri Jun 17 18:40:26 2011	1308328826	0	462	462	462
Fri Jun 17 18:40:28 2011	1308328828	0	463	463	463
Fri Jun 17 18:40:28 2011	1308328828	0	463	463	463
Fri Jun 17 18:40:27 2011	1308328827	0	463	463	463
Fri Jun 17 18:40:24 2011	1308328824	0	463	464	463
Fri Jun 17 18:40:27 2011	1308328827	0	464	464	463
Fri Jun 17 18:40:28 2011	1308328828	0	464	464	463
Fri Jun 17 18:40:28 2011	1308328828	0	464	464	463
Fri Jun 17 18:40:28 2011	1308328828	0	464	464	464
Fri Jun 17 18:40:26 2011	1308328826	0	464	464	464
Fri Jun 17 18:40:26 2011	1308328826	0	464	464	464
Fri Jun 17 18:40:28 2011	1308328828	0	464	465	464
Fri Jun 17 18:40:25 2011	1308328825	0	465	465	464
