starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 18:40:29 2011	1308328829	1	24	25	24
Fri Jun 17 18:40:29 2011	1308328829	1	29	30	29
Fri Jun 17 18:40:29 2011	1308328829	1	33	34	32
Fri Jun 17 18:40:29 2011	1308328829	1	36	37	36
Fri Jun 17 18:40:29 2011	1308328829	1	39	40	39
Fri Jun 17 18:40:29 2011	1308328829	1	44	45	43
Fri Jun 17 18:40:29 2011	1308328829	1	47	48	47
Fri Jun 17 18:40:29 2011	1308328829	1	50	51	50
Fri Jun 17 18:40:29 2011	1308328829	1	53	54	53
Fri Jun 17 18:40:29 2011	1308328829	1	57	58	56
Fri Jun 17 18:40:29 2011	1308328829	1	63	65	60
Fri Jun 17 18:40:29 2011	1308328829	1	64	65	63
Fri Jun 17 18:40:29 2011	1308328829	1	67	68	67
Fri Jun 17 18:40:29 2011	1308328829	1	70	72	70
Fri Jun 17 18:40:29 2011	1308328829	1	83	84	83
Fri Jun 17 18:40:29 2011	1308328829	1	87	88	86
Fri Jun 17 18:40:29 2011	1308328829	1	90	91	90
Fri Jun 17 18:40:29 2011	1308328829	1	93	94	93
Fri Jun 17 18:40:29 2011	1308328829	1	96	97	96
Fri Jun 17 18:40:29 2011	1308328829	1	100	101	99
Fri Jun 17 18:40:29 2011	1308328829	1	103	104	103
Fri Jun 17 18:40:29 2011	1308328829	1	107	109	106
Fri Jun 17 18:40:29 2011	1308328829	1	110	111	110
Fri Jun 17 18:40:29 2011	1308328829	1	114	116	114
Fri Jun 17 18:40:29 2011	1308328829	1	118	119	117
Fri Jun 17 18:40:29 2011	1308328829	1	121	122	121
Fri Jun 17 18:40:29 2011	1308328829	1	124	125	124
Fri Jun 17 18:40:29 2011	1308328829	1	128	129	127
Fri Jun 17 18:40:29 2011	1308328829	1	131	132	130
Fri Jun 17 18:40:29 2011	1308328829	1	134	135	133
Fri Jun 17 18:40:29 2011	1308328829	1	145	146	145
Fri Jun 17 18:40:29 2011	1308328829	1	150	151	149
Fri Jun 17 18:40:29 2011	1308328829	1	155	156	153
Fri Jun 17 18:40:29 2011	1308328829	1	156	158	156
Fri Jun 17 18:40:29 2011	1308328829	1	159	161	159
Fri Jun 17 18:40:29 2011	1308328829	1	163	164	162
Fri Jun 17 18:40:29 2011	1308328829	1	166	167	165
Fri Jun 17 18:40:29 2011	1308328829	1	169	170	169
Fri Jun 17 18:40:29 2011	1308328829	1	173	174	172
Fri Jun 17 18:40:29 2011	1308328829	1	177	178	176
Fri Jun 17 18:40:29 2011	1308328829	1	180	181	180
Fri Jun 17 18:40:29 2011	1308328829	1	183	184	183
Fri Jun 17 18:40:29 2011	1308328829	1	186	188	186
Fri Jun 17 18:40:29 2011	1308328829	1	189	191	189
Fri Jun 17 18:40:29 2011	1308328829	1	193	194	192
Fri Jun 17 18:40:29 2011	1308328829	1	196	197	195
Fri Jun 17 18:40:29 2011	1308328829	1	199	200	198
Fri Jun 17 18:40:29 2011	1308328829	1	210	212	210
Fri Jun 17 18:40:29 2011	1308328829	1	215	216	214
Fri Jun 17 18:40:29 2011	1308328829	1	220	221	218
Fri Jun 17 18:40:29 2011	1308328829	1	222	223	221
Fri Jun 17 18:40:29 2011	1308328829	1	225	226	224
Fri Jun 17 18:40:29 2011	1308328829	1	228	229	227
Fri Jun 17 18:40:29 2011	1308328829	1	231	232	230
Fri Jun 17 18:40:29 2011	1308328829	1	234	235	234
Fri Jun 17 18:40:29 2011	1308328829	1	237	239	237
Fri Jun 17 18:40:29 2011	1308328829	1	242	243	241
Fri Jun 17 18:40:29 2011	1308328829	1	245	247	245
Fri Jun 17 18:40:29 2011	1308328829	1	248	249	248
Fri Jun 17 18:40:29 2011	1308328829	1	251	253	251
Fri Jun 17 18:40:29 2011	1308328829	1	254	256	254
Fri Jun 17 18:40:29 2011	1308328829	1	258	260	258
Fri Jun 17 18:40:29 2011	1308328829	1	261	263	261
Fri Jun 17 18:40:29 2011	1308328829	2	273	274	272
Fri Jun 17 18:40:29 2011	1308328829	1	276	277	276
Fri Jun 17 18:40:29 2011	1308328829	1	280	281	280
Fri Jun 17 18:40:29 2011	1308328829	1	284	285	283
Fri Jun 17 18:40:29 2011	1308328829	1	286	287	286
Fri Jun 17 18:40:29 2011	1308328829	1	289	290	289
Fri Jun 17 18:40:29 2011	1308328829	1	292	293	292
Fri Jun 17 18:40:29 2011	1308328829	1	295	296	295
Fri Jun 17 18:40:29 2011	1308328829	1	299	299	298
Fri Jun 17 18:40:29 2011	1308328829	1	302	303	302
Fri Jun 17 18:40:29 2011	1308328829	1	305	306	305
Fri Jun 17 18:40:29 2011	1308328829	1	308	309	308
Fri Jun 17 18:40:29 2011	1308328829	1	312	313	311
Fri Jun 17 18:40:29 2011	1308328829	1	315	316	315
Fri Jun 17 18:40:29 2011	1308328829	1	318	319	318
Fri Jun 17 18:40:29 2011	1308328829	1	322	323	322
Fri Jun 17 18:40:32 2011	1308328832	0	324	325	324
Fri Jun 17 18:40:32 2011	1308328832	0	325	325	325
Fri Jun 17 18:40:32 2011	1308328832	0	325	325	325
Fri Jun 17 18:40:32 2011	1308328832	0	325	325	325
Fri Jun 17 18:40:32 2011	1308328832	0	325	326	325
Fri Jun 17 18:40:32 2011	1308328832	0	326	326	325
Fri Jun 17 18:40:32 2011	1308328832	0	326	326	326
Fri Jun 17 18:40:32 2011	1308328832	0	326	326	325
Fri Jun 17 18:40:29 2011	1308328829	1	325	326	325
Fri Jun 17 18:40:32 2011	1308328832	0	326	326	326
Fri Jun 17 18:40:32 2011	1308328832	0	326	326	326
Fri Jun 17 18:40:32 2011	1308328832	0	326	327	326
Fri Jun 17 18:40:32 2011	1308328832	0	326	327	326
Fri Jun 17 18:40:32 2011	1308328832	0	327	327	327
Fri Jun 17 18:40:32 2011	1308328832	0	327	328	327
Fri Jun 17 18:40:32 2011	1308328832	0	328	328	327
Fri Jun 17 18:40:32 2011	1308328832	0	328	328	327
Fri Jun 17 18:40:32 2011	1308328832	0	328	328	328
Fri Jun 17 18:40:32 2011	1308328832	0	328	328	328
Fri Jun 17 18:40:32 2011	1308328832	0	329	329	329
Fri Jun 17 18:40:29 2011	1308328829	1	329	330	328
Fri Jun 17 18:40:29 2011	1308328829	1	332	333	332
Fri Jun 17 18:40:32 2011	1308328832	0	334	334	333
Fri Jun 17 18:40:32 2011	1308328832	0	335	335	334
Fri Jun 17 18:40:32 2011	1308328832	0	335	335	334
Fri Jun 17 18:40:32 2011	1308328832	0	335	335	335
Fri Jun 17 18:40:32 2011	1308328832	0	335	335	335
Fri Jun 17 18:40:32 2011	1308328832	0	335	335	335
Fri Jun 17 18:40:32 2011	1308328832	0	336	336	335
Fri Jun 17 18:40:32 2011	1308328832	0	336	336	336
Fri Jun 17 18:40:32 2011	1308328832	0	336	336	334
Fri Jun 17 18:40:32 2011	1308328832	0	336	336	336
Fri Jun 17 18:40:32 2011	1308328832	0	336	336	336
Fri Jun 17 18:40:32 2011	1308328832	0	336	336	336
Fri Jun 17 18:40:32 2011	1308328832	0	337	337	336
Fri Jun 17 18:40:32 2011	1308328832	0	337	337	337
Fri Jun 17 18:40:32 2011	1308328832	0	337	337	337
Fri Jun 17 18:40:32 2011	1308328832	0	337	338	337
Fri Jun 17 18:40:32 2011	1308328832	0	337	338	337
Fri Jun 17 18:40:32 2011	1308328832	0	338	338	337
Fri Jun 17 18:40:32 2011	1308328832	0	344	345	344
Fri Jun 17 18:40:32 2011	1308328832	0	345	345	344
Fri Jun 17 18:40:32 2011	1308328832	0	345	345	344
Fri Jun 17 18:40:32 2011	1308328832	0	345	345	345
Fri Jun 17 18:40:32 2011	1308328832	0	345	345	345
Fri Jun 17 18:40:32 2011	1308328832	0	345	345	345
Fri Jun 17 18:40:32 2011	1308328832	0	345	345	345
Fri Jun 17 18:40:32 2011	1308328832	0	345	345	345
Fri Jun 17 18:40:32 2011	1308328832	0	345	346	345
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	345
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	345
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	345
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	346
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	346
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	346
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	346
Fri Jun 17 18:40:29 2011	1308328829	1	345	346	345
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	346
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	346
Fri Jun 17 18:40:32 2011	1308328832	0	346	346	346
Fri Jun 17 18:40:32 2011	1308328832	0	346	347	346
Fri Jun 17 18:40:32 2011	1308328832	0	346	347	346
Fri Jun 17 18:40:32 2011	1308328832	0	347	347	346
Fri Jun 17 18:40:32 2011	1308328832	0	347	347	346
Fri Jun 17 18:40:32 2011	1308328832	0	347	347	346
Fri Jun 17 18:40:32 2011	1308328832	0	347	347	346
Fri Jun 17 18:40:32 2011	1308328832	0	347	347	347
Fri Jun 17 18:40:32 2011	1308328832	0	347	347	347
Fri Jun 17 18:40:32 2011	1308328832	0	347	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	347	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	347	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	347	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	347	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	347	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	346
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	347
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	348	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	348	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	348
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	349
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	347
Fri Jun 17 18:40:32 2011	1308328832	0	349	349	349
Fri Jun 17 18:40:32 2011	1308328832	0	349	350	348
Fri Jun 17 18:40:29 2011	1308328829	1	351	352	350
Fri Jun 17 18:40:32 2011	1308328832	0	352	353	352
Fri Jun 17 18:40:32 2011	1308328832	0	354	354	354
Fri Jun 17 18:40:32 2011	1308328832	0	354	355	354
Fri Jun 17 18:40:29 2011	1308328829	1	354	355	353
Fri Jun 17 18:40:32 2011	1308328832	0	355	355	354
Fri Jun 17 18:40:32 2011	1308328832	0	355	355	355
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	355
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	355
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	356
Fri Jun 17 18:40:32 2011	1308328832	0	356	356	356
Fri Jun 17 18:40:32 2011	1308328832	0	356	357	356
Fri Jun 17 18:40:32 2011	1308328832	0	357	357	356
