starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 18:40:29 2011	1308328829	2	2	4	2
Fri Jun 17 18:40:29 2011	1308328829	2	2	4	1
Fri Jun 17 18:40:29 2011	1308328829	2	2	4	1
Fri Jun 17 18:40:29 2011	1308328829	2	2	4	1
Fri Jun 17 18:40:29 2011	1308328829	2	2	4	1
Fri Jun 17 18:40:29 2011	1308328829	2	2	4	1
Fri Jun 17 18:40:29 2011	1308328829	3	4	6	3
Fri Jun 17 18:40:29 2011	1308328829	3	4	6	3
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	4
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	4
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	4
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	4
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	4
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	3
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	4
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	4
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	3
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	3
Fri Jun 17 18:40:29 2011	1308328829	2	5	6	3
Fri Jun 17 18:40:29 2011	1308328829	3	4	7	3
Fri Jun 17 18:40:29 2011	1308328829	3	4	7	3
Fri Jun 17 18:40:29 2011	1308328829	3	4	7	3
Fri Jun 17 18:40:29 2011	1308328829	2	5	7	3
Fri Jun 17 18:40:29 2011	1308328829	2	5	7	3
Fri Jun 17 18:40:29 2011	1308328829	1	5	7	3
Fri Jun 17 18:40:29 2011	1308328829	2	5	7	3
Fri Jun 17 18:40:29 2011	1308328829	3	4	7	3
Fri Jun 17 18:40:29 2011	1308328829	3	4	7	3
Fri Jun 17 18:40:29 2011	1308328829	1	5	7	2
Fri Jun 17 18:40:29 2011	1308328829	2	4	7	4
Fri Jun 17 18:40:29 2011	1308328829	2	4	7	3
Fri Jun 17 18:40:29 2011	1308328829	1	5	7	2
