starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 16:19:32 2011	1308320372	0	75	75	75
Fri Jun 17 16:19:36 2011	1308320376	0	94	94	94
Fri Jun 17 16:19:33 2011	1308320373	0	95	95	95
Fri Jun 17 16:19:34 2011	1308320374	0	97	97	97
Fri Jun 17 16:19:32 2011	1308320372	0	97	97	97
Fri Jun 17 16:19:34 2011	1308320374	0	99	99	99
Fri Jun 17 16:19:35 2011	1308320375	0	100	100	100
Fri Jun 17 16:19:34 2011	1308320374	0	101	102	101
Fri Jun 17 16:19:33 2011	1308320373	0	104	104	104
Fri Jun 17 16:19:32 2011	1308320372	0	105	105	104
Fri Jun 17 16:19:32 2011	1308320372	0	107	107	107
Fri Jun 17 16:19:36 2011	1308320376	0	108	108	108
Fri Jun 17 16:19:32 2011	1308320372	0	109	109	109
Fri Jun 17 16:19:32 2011	1308320372	0	109	109	109
Fri Jun 17 16:19:33 2011	1308320373	0	109	110	109
Fri Jun 17 16:19:35 2011	1308320375	0	110	110	110
Fri Jun 17 16:19:32 2011	1308320372	0	110	110	110
Fri Jun 17 16:19:34 2011	1308320374	0	111	111	110
Fri Jun 17 16:19:34 2011	1308320374	0	111	111	111
Fri Jun 17 16:19:32 2011	1308320372	0	113	113	113
Fri Jun 17 16:19:34 2011	1308320374	0	113	113	113
Fri Jun 17 16:19:34 2011	1308320374	0	114	114	114
Fri Jun 17 16:19:33 2011	1308320373	0	114	115	114
Fri Jun 17 16:19:33 2011	1308320373	0	115	115	115
Fri Jun 17 16:19:33 2011	1308320373	0	115	115	115
Fri Jun 17 16:19:36 2011	1308320376	0	115	115	115
Fri Jun 17 16:19:35 2011	1308320375	0	116	116	116
Fri Jun 17 16:19:35 2011	1308320375	0	117	117	117
Fri Jun 17 16:19:36 2011	1308320376	0	117	117	117
Fri Jun 17 16:19:34 2011	1308320374	0	117	118	117
Fri Jun 17 16:19:33 2011	1308320373	0	118	118	118
Fri Jun 17 16:19:35 2011	1308320375	0	118	118	118
Fri Jun 17 16:19:33 2011	1308320373	0	119	119	118
Fri Jun 17 16:19:36 2011	1308320376	0	119	119	119
Fri Jun 17 16:19:33 2011	1308320373	0	119	119	119
Fri Jun 17 16:19:34 2011	1308320374	0	119	120	119
Fri Jun 17 16:19:34 2011	1308320374	0	120	120	120
Fri Jun 17 16:19:33 2011	1308320373	0	120	120	120
Fri Jun 17 16:19:33 2011	1308320373	0	120	120	120
Fri Jun 17 16:19:33 2011	1308320373	0	121	121	121
Fri Jun 17 16:19:33 2011	1308320373	0	121	122	121
Fri Jun 17 16:19:32 2011	1308320372	0	122	122	121
Fri Jun 17 16:19:33 2011	1308320373	0	122	122	122
Fri Jun 17 16:19:35 2011	1308320375	0	122	122	122
Fri Jun 17 16:19:32 2011	1308320372	0	122	122	122
Fri Jun 17 16:19:32 2011	1308320372	0	122	123	122
Fri Jun 17 16:19:33 2011	1308320373	0	122	123	122
Fri Jun 17 16:19:36 2011	1308320376	0	122	123	122
Fri Jun 17 16:19:35 2011	1308320375	0	123	123	123
Fri Jun 17 16:19:35 2011	1308320375	0	123	123	123
Fri Jun 17 16:19:35 2011	1308320375	0	123	123	123
Fri Jun 17 16:19:32 2011	1308320372	0	123	123	123
Fri Jun 17 16:19:35 2011	1308320375	0	124	124	124
Fri Jun 17 16:19:34 2011	1308320374	0	124	124	124
Fri Jun 17 16:19:34 2011	1308320374	0	124	124	124
Fri Jun 17 16:19:32 2011	1308320372	0	124	124	124
Fri Jun 17 16:19:32 2011	1308320372	0	124	124	124
Fri Jun 17 16:19:34 2011	1308320374	0	124	125	124
Fri Jun 17 16:19:32 2011	1308320372	0	125	125	125
Fri Jun 17 16:19:32 2011	1308320372	0	125	125	125
Fri Jun 17 16:19:33 2011	1308320373	0	125	125	125
Fri Jun 17 16:19:33 2011	1308320373	0	125	126	125
Fri Jun 17 16:19:35 2011	1308320375	0	125	126	125
Fri Jun 17 16:19:32 2011	1308320372	0	126	126	125
Fri Jun 17 16:19:35 2011	1308320375	0	126	126	126
Fri Jun 17 16:19:35 2011	1308320375	0	126	126	126
Fri Jun 17 16:19:34 2011	1308320374	0	126	126	126
Fri Jun 17 16:19:34 2011	1308320374	0	126	127	126
Fri Jun 17 16:19:36 2011	1308320376	0	127	127	127
Fri Jun 17 16:19:32 2011	1308320372	0	127	128	127
Fri Jun 17 16:19:35 2011	1308320375	0	128	128	128
Fri Jun 17 16:19:33 2011	1308320373	0	128	129	128
Fri Jun 17 16:19:32 2011	1308320372	0	129	129	129
Fri Jun 17 16:19:34 2011	1308320374	0	129	129	129
Fri Jun 17 16:19:33 2011	1308320373	0	129	129	129
Fri Jun 17 16:19:34 2011	1308320374	0	129	130	129
Fri Jun 17 16:19:34 2011	1308320374	0	129	130	129
Fri Jun 17 16:19:32 2011	1308320372	0	129	130	129
Fri Jun 17 16:19:36 2011	1308320376	0	130	130	130
Fri Jun 17 16:19:32 2011	1308320372	0	130	130	130
Fri Jun 17 16:19:33 2011	1308320373	0	130	130	130
Fri Jun 17 16:19:36 2011	1308320376	0	130	131	130
Fri Jun 17 16:19:34 2011	1308320374	0	130	131	130
Fri Jun 17 16:19:35 2011	1308320375	0	131	131	130
Fri Jun 17 16:19:35 2011	1308320375	0	131	131	131
Fri Jun 17 16:19:36 2011	1308320376	0	131	131	131
Fri Jun 17 16:19:32 2011	1308320372	0	131	132	131
Fri Jun 17 16:19:34 2011	1308320374	0	131	132	131
Fri Jun 17 16:19:35 2011	1308320375	0	132	132	132
Fri Jun 17 16:19:32 2011	1308320372	0	132	132	132
Fri Jun 17 16:19:32 2011	1308320372	0	132	132	132
Fri Jun 17 16:19:32 2011	1308320372	0	132	132	132
Fri Jun 17 16:19:34 2011	1308320374	0	132	132	132
Fri Jun 17 16:19:33 2011	1308320373	0	132	132	132
Fri Jun 17 16:19:35 2011	1308320375	0	132	132	132
Fri Jun 17 16:19:35 2011	1308320375	0	132	132	132
Fri Jun 17 16:19:32 2011	1308320372	0	132	133	132
Fri Jun 17 16:19:35 2011	1308320375	0	132	133	132
Fri Jun 17 16:19:32 2011	1308320372	0	132	133	132
Fri Jun 17 16:19:35 2011	1308320375	0	133	133	133
Fri Jun 17 16:19:33 2011	1308320373	0	133	133	133
Fri Jun 17 16:19:35 2011	1308320375	0	133	133	133
Fri Jun 17 16:19:33 2011	1308320373	0	133	134	133
Fri Jun 17 16:19:36 2011	1308320376	0	133	134	133
Fri Jun 17 16:19:35 2011	1308320375	0	133	134	133
Fri Jun 17 16:19:35 2011	1308320375	0	134	134	134
Fri Jun 17 16:19:33 2011	1308320373	0	134	134	134
Fri Jun 17 16:19:35 2011	1308320375	0	134	134	134
Fri Jun 17 16:19:35 2011	1308320375	0	134	134	134
Fri Jun 17 16:19:32 2011	1308320372	0	134	134	134
Fri Jun 17 16:19:34 2011	1308320374	0	134	135	134
Fri Jun 17 16:19:36 2011	1308320376	0	134	135	134
Fri Jun 17 16:19:34 2011	1308320374	0	134	135	134
Fri Jun 17 16:19:35 2011	1308320375	0	134	135	134
Fri Jun 17 16:19:36 2011	1308320376	0	135	135	135
Fri Jun 17 16:19:33 2011	1308320373	0	135	135	135
Fri Jun 17 16:19:34 2011	1308320374	0	135	135	135
Fri Jun 17 16:19:36 2011	1308320376	0	135	135	135
Fri Jun 17 16:19:36 2011	1308320376	0	135	136	135
Fri Jun 17 16:19:32 2011	1308320372	0	136	136	135
Fri Jun 17 16:19:32 2011	1308320372	0	136	136	136
Fri Jun 17 16:19:35 2011	1308320375	0	136	136	136
Fri Jun 17 16:19:33 2011	1308320373	0	136	136	136
Fri Jun 17 16:19:34 2011	1308320374	0	136	136	136
Fri Jun 17 16:19:34 2011	1308320374	0	136	136	136
Fri Jun 17 16:19:35 2011	1308320375	0	136	137	136
Fri Jun 17 16:19:32 2011	1308320372	0	136	137	136
Fri Jun 17 16:19:34 2011	1308320374	0	137	137	137
Fri Jun 17 16:19:34 2011	1308320374	0	137	138	137
Fri Jun 17 16:19:34 2011	1308320374	0	138	138	138
Fri Jun 17 16:19:32 2011	1308320372	0	138	138	138
Fri Jun 17 16:19:34 2011	1308320374	0	138	138	138
Fri Jun 17 16:19:35 2011	1308320375	0	138	138	138
Fri Jun 17 16:19:33 2011	1308320373	0	138	138	138
Fri Jun 17 16:19:36 2011	1308320376	0	138	138	138
Fri Jun 17 16:19:36 2011	1308320376	0	138	138	138
Fri Jun 17 16:19:33 2011	1308320373	0	138	139	138
Fri Jun 17 16:19:35 2011	1308320375	0	138	139	138
Fri Jun 17 16:19:35 2011	1308320375	0	138	139	138
Fri Jun 17 16:19:33 2011	1308320373	0	138	139	138
Fri Jun 17 16:19:35 2011	1308320375	0	138	139	138
Fri Jun 17 16:19:32 2011	1308320372	0	139	139	139
Fri Jun 17 16:19:35 2011	1308320375	0	139	139	139
Fri Jun 17 16:19:36 2011	1308320376	0	139	139	139
Fri Jun 17 16:19:35 2011	1308320375	0	139	139	139
Fri Jun 17 16:19:36 2011	1308320376	0	139	139	139
Fri Jun 17 16:19:34 2011	1308320374	0	139	139	139
Fri Jun 17 16:19:34 2011	1308320374	0	139	140	139
Fri Jun 17 16:19:35 2011	1308320375	0	139	140	139
Fri Jun 17 16:19:35 2011	1308320375	0	139	140	139
