starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 16:21:55 2011	1308320515	0	6	6	6
Fri Jun 17 16:21:55 2011	1308320515	0	7	7	7
Fri Jun 17 16:21:56 2011	1308320516	0	7	7	7
Fri Jun 17 16:21:56 2011	1308320516	0	7	7	7
Fri Jun 17 16:21:55 2011	1308320515	0	7	7	7
Fri Jun 17 16:21:56 2011	1308320516	0	7	8	7
Fri Jun 17 16:21:55 2011	1308320515	0	8	9	8
Fri Jun 17 16:21:55 2011	1308320515	0	8	9	8
Fri Jun 17 16:21:56 2011	1308320516	0	9	9	9
Fri Jun 17 16:21:55 2011	1308320515	0	9	9	9
Fri Jun 17 16:21:55 2011	1308320515	0	9	9	9
Fri Jun 17 16:21:55 2011	1308320515	0	9	9	9
Fri Jun 17 16:21:55 2011	1308320515	0	9	9	9
Fri Jun 17 16:21:56 2011	1308320516	0	9	10	9
Fri Jun 17 16:21:56 2011	1308320516	0	9	10	9
Fri Jun 17 16:21:55 2011	1308320515	0	10	10	9
Fri Jun 17 16:21:55 2011	1308320515	0	10	10	10
Fri Jun 17 16:21:56 2011	1308320516	0	10	10	10
Fri Jun 17 16:21:56 2011	1308320516	0	10	10	10
Fri Jun 17 16:21:56 2011	1308320516	0	10	10	10
Fri Jun 17 16:21:56 2011	1308320516	0	10	10	10
Fri Jun 17 16:21:56 2011	1308320516	0	10	10	10
Fri Jun 17 16:21:56 2011	1308320516	0	10	10	10
Fri Jun 17 16:21:55 2011	1308320515	0	10	10	10
Fri Jun 17 16:21:55 2011	1308320515	0	10	11	10
Fri Jun 17 16:21:56 2011	1308320516	0	11	11	11
Fri Jun 17 16:21:56 2011	1308320516	0	11	11	11
Fri Jun 17 16:21:56 2011	1308320516	0	11	11	11
Fri Jun 17 16:21:56 2011	1308320516	0	11	11	11
Fri Jun 17 16:21:56 2011	1308320516	0	11	11	11
Fri Jun 17 16:21:56 2011	1308320516	0	11	11	11
Fri Jun 17 16:21:56 2011	1308320516	0	11	11	11
Fri Jun 17 16:21:55 2011	1308320515	0	11	11	11
Fri Jun 17 16:21:56 2011	1308320516	0	11	12	11
Fri Jun 17 16:21:55 2011	1308320515	0	12	12	12
Fri Jun 17 16:21:55 2011	1308320515	0	12	12	12
Fri Jun 17 16:21:55 2011	1308320515	0	12	12	12
Fri Jun 17 16:21:56 2011	1308320516	0	12	12	12
Fri Jun 17 16:21:56 2011	1308320516	0	12	12	12
Fri Jun 17 16:21:56 2011	1308320516	0	12	12	12
Fri Jun 17 16:21:55 2011	1308320515	0	12	12	12
Fri Jun 17 16:21:55 2011	1308320515	0	12	12	12
Fri Jun 17 16:21:56 2011	1308320516	0	12	13	12
Fri Jun 17 16:21:56 2011	1308320516	0	12	13	12
Fri Jun 17 16:21:55 2011	1308320515	0	12	13	12
Fri Jun 17 16:21:55 2011	1308320515	0	12	13	12
Fri Jun 17 16:21:56 2011	1308320516	0	12	13	12
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:55 2011	1308320515	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:55 2011	1308320515	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:55 2011	1308320515	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	13	13
Fri Jun 17 16:21:55 2011	1308320515	0	13	13	13
Fri Jun 17 16:21:55 2011	1308320515	0	13	13	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	14	13
Fri Jun 17 16:21:55 2011	1308320515	0	13	14	13
Fri Jun 17 16:21:55 2011	1308320515	0	13	14	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	14	13
Fri Jun 17 16:21:56 2011	1308320516	0	13	14	13
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	13
Fri Jun 17 16:21:55 2011	1308320515	0	14	14	14
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	14
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	14
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	14
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	14
Fri Jun 17 16:21:55 2011	1308320515	0	14	14	14
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	14
Fri Jun 17 16:21:55 2011	1308320515	0	14	14	14
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	14
Fri Jun 17 16:21:56 2011	1308320516	0	14	14	14
Fri Jun 17 16:21:55 2011	1308320515	0	14	14	14
Fri Jun 17 16:21:55 2011	1308320515	0	14	14	14
